id,ansa,ansb,ansc,ansd,answer,category,question,timelimit
2273,腾讯QQ是一种即时通讯工具,迅雷本身支持资源上传,酷狗(KuGou)是国内最大也是最专业的P2P音乐共享软件,飞信可以通过PC、手机、WAP等多种终端登录,B,1,下列关于一些常用软件的说法，不正确的是___ ,15
2275,它又称为MAC位址或者硬件位址,每个网络位置会有一个专属于它的MAC位址,MAC地址不能修改,它用来定义网络设备的位置,C,1,以下关于MAC地址的说法不正确的是___ ,15
2276,直连线,交叉线,反转线,控制线,D,1,网线的类型不包括以下哪种___ ,15
2277,模拟,字符,数字,数模,B,1,ASCII 码用于表示___编码。     ,15
2278,主存,主机,CPU,主板,C,1,计算机的核心部件是___。     ,15
2279,可以任意地读写,只能读不能写,只能写不能读,内容不能修改,A,1,RAM的特点是___。     ,15
2281,网站页面不存在,网站正在更新,HOST表被重定向,壮哉我大天朝！,D,1,出现HTTP 404 not found不可能是由  ___  造成,15
2283,主存储器,辅助存储器,PR0M,ROM,A,1,内存储器又称为___。     ,15
2284,运算器与控制器,输入设备与运算器,存储器与输入设备,输入设备与输出设备,D,1,"在微机的硬件系统中,___简称为I\\/O设备。     ",15
2285,1,2,3,4,B,1,汉字的国家标准的编码原则是：一个汉字用___个字节表示。     ,15
2286,机器语言,汇编语言,高级语言,面向对象语言,C,1,BASIC语言是一种___。     ,15
2348,欧洲联盟,世界贸易组织,石油输出国组织,东南亚国家联盟,A,0,世界上最大的区域性贸易集团是___,15
2350,居民大多信仰伊斯兰教,居民以阿拉伯人为主,石油是三地重要的矿产,农业主要为畜牧业和灌溉农业,B,0,中亚、西亚和北非比较，下列说法不正确的是___,15
2351,美国,巴西,日本,中国,D,0,全球第一部国家级的《21世纪议程》诞生于___,15
2352,伏尔加格勒,列宁格勒,明斯克,戈尔巴乔夫格勒,A,0,俄罗斯的斯大林格勒更名为___,15
2353,春,夏,秋,冬,D,0,地中海气候区的雨季通常在___,15
2354,西陵峡,巫峡,瞿塘峡,三门峡,C,0,长江三峡位于最西面的一个峡谷是___,15
2355,重庆,郑州,武汉,杭州,C,0,长江发生特大洪水时，下列城市受威胁最大的是___,15
2356,青藏高原,东非高原,中西伯利亚高原,云贵高原,A,0,下列地区中，湖泊数最多的是___,15
2357,北京~杭州,北京~天津,天津~山东济宁,山东（东平湖）~杭州,D,0,“京杭运河”通航河段是___,15
2361,非洲,南美洲,亚洲,欧洲,D,0,世界上人口密度最大的大洲是___,15
2362,内蒙古高原,四川盆地,珠江三角洲,松嫩平原,A,0,下列地区中，土地利用类型不是以耕地为主的是___,15
2363,总量小,破坏严重,资源浪费,人口基数大增长快,D,0,造成我国自然资源形势严峻的最主要原因是___,15
2364,工业,农业,交通,商业,C,0,被称为经济发展先行官的产业是___,15
2365,上海淮海路,北京中关村,南京珠江路,天津高新技术产业园区,B,0,我国最早建立高新技术试验区的是___,15
2367,壮族,黎族,回族,高山族,D,0,台湾省聚聚的少数民族是___,15
2368,大陆性气候,季风性气候,海洋性气候,地形复杂多样,B,0,我国东部广大地区雨热同期的原因是由于___,15
2370,明朝,元朝,唐朝,宋朝,A,0,钓鱼岛从何时开始就明确为我国的领土___,15
2371,荷兰海牙,英国伦敦,荷兰鹿特丹,法国马赛,C,0,假如让你到欧洲去考察世界上最大的海港，你应该去___,15
2372,冬季比北京冷,冬季比北京温暖,冬季气候和北京差不多,冬季比北京干燥,B,0,如果你的家人冬季到西欧去旅行，你一定会告诉他那里___,15
2375,鄂毕河,伏尔加河,多瑙河,勒拿河,B,0,欧洲最长的河流是___,15
2376,平原和山地,山地和丘陵,平原和高原,高原和盆地,A,0,欧洲西部的主要地形为___,15
2377,一种时间单位,描述距离的单位,飞船的运动速度,描述温度的单位,B,0,“光年”是指_____的单位,15
2378,恒星,行星　,卫星,流星,B,0,地球属于太阳系的_____,15
2380,23°26,35°37,40°13,18°5,A,0,地球的赤道面___________与地球轨道平面_____交角是______,15
2382,90.6%,96.5%,97.3%,91.6%,B,0,地球表面的70%是被水覆盖着的，其中有多少是海水？_____,15
2383,0.003%左右,0.002%左右,0.001%左右,0.005%左右,A,0,地球上淡水资源其中一半以上是冰，江河湖泊等可直接利用的水资源，仅占整个水量的多少？_______,15
2384,可见光,紫外线,不可见光,红外线,C,0,太阳光是由三部分组成下面哪种不是太阳光的组成之一？_______ ,15
2385,一半80,三分之一80,一半80,三分之二80,A,0,地球岩石圈可分为大洋岩石圈和大陆岩石圈，总体上，前者的厚度是后者的多少，其中大洋岩石圈厚度很不均匀，最厚处可达多少公里？_______,15
2386,青海湖,洞庭湖,潘阳湖,太湖,C,0,中国最大的淡水湖是______________,15
2387,东岳泰山,西岳华山,南岳衡山,北岳恒山,A,0,被古代皇帝御封的五座大山——五岳，其中位于五岳之首的是____________,15
2388,土地,草原,矿产,海水,C,0,汽车制造与下列哪种自然资源有关_______,15
2389,四川盆地,内蒙古高原,珠江三角洲,松嫩平原,B,0,下列地区中，土地利用类型不是以耕地为主的是_______ ,15
2390,长江黄河,长江雅鲁藏布江,长江珠江,长江松花江,B,0,我国水能资源最丰富的两条河流是_______,15
2391,总量小,破坏严重,浪费严重,人口增长快,D,0,造成我国自然资源形势严峻的最主要原因是_______,15
2392,铁路,公路,水运,航空,D,0,从成都到拉萨沿途进行科学考察应采用的运输方式是_______,15
2393,地形,水分,热量,土壤,C,0,导致我国南北方耕作制度____差异的主要自然因素是_______,15
2394,成都平原,太湖平原,三江平原,珠江三角洲,C,0,下列地区中，适宜种植春小麦和甜菜的是_______,15
2395,春季,夏季,秋季,冬季,D,0,地中海气候区的雨季通常在：_______,15
2396,琉球群岛,马来群岛,西印度群岛,阿留申群岛,B,0,2002年5月20日宣布独立的东帝汶民主共和国位于：_______,15
2397,明朝,唐朝,巴元朝,宋朝,A,0,钓鱼岛从何时开始就明确为我国的领土? _______,15
2398,大亚湾核电站,泰山核电站,岭澳核电站,田湾核电站,A,0,我国第一座投入商业运营的核电站是：_______,15
2399,地处地中海文明中心,位于西欧海外可攻守自如,蕴藏丰富的石油资源,居世界最繁忙的空运枢纽,B,0,英国有何优越的地理位置助其发展为自17世纪至19世纪世界的经济强国? _______,15
2400,奥地利,捷克,匈牙利,波兰,D,0,在下列东欧诸国中，哪一国家地势低平，四周多强邻，因而在过去两百多年中，疆界多变，并屡遭瓜分? _______,15
2402,地球是我们唯一的家园,善待地球——保护资源,善待地球,保护我们的家园,B,0,2003年4月22日是第34个地球日，今年地球日的主题是：_______,15
2403,9—10月,7—8月,5—6月,3—4月,B,0,2008年第29届夏季奥运会将在我国的北京举办，从气候条件考虑，最佳的比赛时间是：_______,15
2404,马赛～太平洋,鹿特丹～北海,汉堡～地中海,符拉迪沃斯托克～北冰洋,B,0,下列港口与所临海域相符合的是：_____,15
2405,欧洲联盟(UN),世界贸易组织(WTO),石油输出国组织(OPEC),东南亚国家联盟(ASEAN),A,0,世界上最大的区域性贸易集团是：_______,15
2407,行政机关,行政相对方,行政权,行政行为,C,0,行政法的核心是规范___ ,15
2409,行政机关,行政相对方,行政主体,授权组织,C,0,行政法律关系中不可缺少的一方主体是___ ,15
2410,主体、客体,内容,客体,主体,D,0,甲、乙双方签订了货物买卖合同，由甲方向乙方提供货物。后经甲方同意，乙方将合同中的权利、义务转给丙。这样，法律关系的_____就发生了变更。 ,15
2411,公定力,确定力,拘束力,执行力,B,0,行政行为的不可变更力是指行政行为具有___ ,15
2412,行政公署,街道办事处,区公所,居民委员会,D,0,下列各项中不属于地方人民政府设立的派出机关的是___,15
2413,15年,10年,12年,20年,B,0,被判无期徒刑的犯罪分子，实际执行___以上，才可以假释。 ,15
2414,平等权,受教育权,人格尊严不受侵犯,迁徙自由,C,0,下列哪些是现行宪法新增加的内容：____ ,15
2415,1991年1月1日,1991年9月4日,1992年1月1日,1999年11月1日,C,0,《中华人民共和国未成年人保护法》是于____正式施行的。,15
2417,可以免除或者减轻处罚,应当免除或减轻处罚,可以从轻、,可以从轻或减轻处罚,A,0,外国人在中国领域外侵害中国国家或者中国公民利益，仍然可以依照中国法律追究，但在外国已受过刑罚处罚的___。 ,15
2419,1,2,3,4,C,0, 到目前为止，我国对现行宪法进行了____次修改： ,15
2420,所有商品,家用电器,包修、包换、包退的大件商品,包修、包换、包退的所有商品,C,0,依据《消费者权益保护法》规定，对___，消费者要求经营者修理、更换或退货的，经营者应承担运输等合理费用。,15
2424,互惠互利,友好协商,诚实信用,<blank>,C,0,民事活动应当遵循自愿、公平、等价有偿、___的原则。,15
2425,宪法,刑法,民法,地方性法规,A,0,我国的根本大法是___,15
2427,宪法是所有法律的总和,宪法具有最高的法律效力,宪法是规定国家所有问题的法律,宪法和普通法律地位平等,B,0,马克思说：“宪法是法律的法律。”这句话的意思是___,15
2428,德育,素质教育,政治教育,<blank>,B,0,学校的国防教育是全民国防教育的基础，是实施的___重要内容。  ,15
2431,一,二,三,四,D,0,建国以来，我国先后颁布过___部宪法。,15
2432,3年,2年,1年,<blank>,A,0,因环境污染损害赔偿提起诉讼的时效期间为___年，从当事人知道或者应当知道受到污染损害起时计算。,15
2433,环保部门,公安机关,城管部门,<blank>,B,0,根据《环境噪声污染防治法》，从家庭室内发出严重干扰周围居民生活的环境噪声的，由___给予警告，可以并处罚款。,15
2434,最基本,最根本,最普遍,最普通,B,0,宪法规定了国家生活中___的问题。,15
2436,法律效力,政治地位,经济地位,社会地位,A,0,宪法具有最高的___。,15
2438,免费治疗,积极控制,预防为主,<blank>,C,0,国家对传染病实行___的方针。,15
2439,交通信号灯、交通标志、交通标线和交通警察的指挥,绿灯、红灯和黄灯信号,直行信号、转弯信号、停止信号,<blank>,A,0,交通信号包括___。,15
2440,两年,十年,终生,<blank>,C,0,造成交通事故后逃逸的，由公安机关交通管理部门吊销机动车驾驶证，且___不得重新取得机动车驾驶证。   ,15
2441,一年,二年,三至六个月,<blank>,B,0,强制隔离戒毒期限一般为____。,15
2442,海鱼,豆浆,青菜,生姜,A,0,感冒忌用下列哪一种食物___,15
2443,50%的盐水,<blank>,<blank>,<blank>,C,0,洗有颜色的衣服时，先用___浸泡10分钟，然后再洗，不容易掉色。,15
2444,维生素A和维生素C,维生素B1和维生素C,维生素C,维生素B6,A,0,柠檬汁有哪些营养含量___,15
2448,防腐剂,合成抗氧化剂,食用色素,<blank>,B,0,方便面里必然有哪种食品添加剂___,15
2449,没有水就没有生命,饮用水越纯净越好,养成良好的饮食习惯，多吃蔬菜、水果等碱性食物,<blank>,C,0,关于合理饮食有利于健康的下列说法正确的是___,15
2450,乙型肝炎,糖尿病,高血压,贫血,C,0,低盐饮食有利于预防什么疾病？___,15
2451,甲亢,无力,心理疾病,生长发育和智力受影响,D,0,碘缺乏会导致儿童、青少年___。,15
2452,糖水,糖醋水,盐开水,白开水,C,0,夏季在烈日下工作或运动量过大出汗多时，为预防中暑应多喝___。,15
2453,烧菜前用碘盐爆锅,烧菜加水后,烧菜加水前,菜将出锅时,D,0,烧菜时最好在何时加碘盐以减少碘的损失？___,15
2455,食物中的葡萄糖,肝糖元分解形成的葡萄糖,饮水中的碘,食物中的胡萝卜素,B,0,下列不属于营养物质的是___,15
2457,营养物质摄入过多时，一定使人发胖,营养物质摄入过多时，一定排出,营养物质摄入过多时，氧化分解加强，释放能量多,在人体内可以利用必需氨基酸合成非必需氨基酸,D,0,下列关于营养物质的叙述中，正确的是____,15
2458,盐,醋,洒精,酱油,B,0,理发吹风前，在头上喷一点___，洗烫的发式样能长久保持。,15
2459,⑦⑤③②,⑦①④②,⑧⑥④②,⑥③④①,B,0,成年人中的骨质软化病、夜盲症、脚气病、坏血病都属于营养缺乏症，缺少的营养物质依次是___①维生素A ②维生素C ③锌盐 ④维生素B1 ⑤碘盐 ⑥维生素K ⑦钙盐 ⑧铁盐,15
2461,是维持机体新陈代谢必不可少的物质,是构建机体组织和调节机体生理功能必不可少的物质,是某些特殊生理功能所不可缺少的物质,绝大多数维生素不能在人体内合成,B,0,有关维生素的叙述不正确的是____,15
2462,铁,碘,钙,锌,B,0,自然界中，有“智慧元素”之称的是 ___,15
2463,生产日期,最终食用期,最佳食用期,出厂日期,C,0,食品的保质期是指它的： ___,15
2464,长期多食鸡蛋会导致胆固醇偏高,空腹不宜饮茶,死鳝鱼、死甲鱼、死螃蟹只要做熟了还是能吃的,关节炎患者不宜吃海鲜时喝啤酒,C,0,下列说法中不正确的是：___,15
2465,绿色食品、有机食品、无公害食品,有机食品、绿色食品、无公害食品,绿色食品、无公害食品、有机食品,无公害食品、有机食品、绿色食品,B,0,绿色食品、有机食品、无公害农产品标准对产品的要求由高到低依次排列为：___,15
2467,喝没有煮沸的豆浆,豆浆中冲入鸡蛋,喝豆浆时搭配其他食物,用保温瓶长时间储存豆浆,C,0,豆浆又叫“植物奶”，被国际营养协会评定为健康食品和世界六大营养饮料之一。但是喝豆浆也有注意事项，以下正确的食用方法是：___    ,15
2468,绿色食品,新鲜蔬菜,富含维生素C的水果,各种杂粮,C,0,亚硝酸盐属剧毒类化学物质，又叫工业用盐，如酸菜中就含一定量的亚硝酸盐，吃酸菜时最好吃一些___，可减少亚硝酸盐的危害。,15
2469,采下来带回家食用,凭经验判断无毒的就可带回家食用,咨询围人后感觉安全再食用,野生的蘑菇不安全，不采摘也不食用,D,0,郊游时，看见野生蘑菇，您应该怎么做？___,15
2470,催吐,吃止泻药物,进行人工呼吸,向卫生防疫部门报告,A,0,出现食物中毒症状或者误食化学品时，最先采取的急救措施是____,15
2471,酱油,花椒面,味精,醋,D,0,铜器与___不宜长久接触，否则会产生铜绿。用生有铜绿的铜器盛放食品或烹炒菜肴易中毒。,15
2472,猪油、花生油等油脂属于酯类,珂罗酊用于封瓶口,肥皂的主要成份是高级脂肪酸钠,火棉的成份实际就是纤维素,D,0,下列说法不正确的是___,15
2473,丙酮,酒精,盐水,醋,A,0,下列哪个试剂可用于除去圆珠笔痕迹___ 。,15
2475,汽油,柴油,丁烷和煤油,重油和酒精,C,0,现代体育运动会“火炬”火炬中常用的火炬燃料是___,15
2476,BAS,CuS,ZnS,CAS,C,0,能够做电视机荧光材料的物质是___,15
2478,具有吸附性,具有氧化性,具有还原性,化学性质不活泼,D,0,埋木桩前，将埋入地下的一段表面用火微微烧焦，是因为碳在常温下___,15
2479,银制容器,不锈钢制容器,陶制容器,铝制容器,A,0,煮鸡蛋时不宜用以下哪种容器___,15
2480,碘,硫,汞,氟,D,0,下列元素中的___污染大气或饮水时，可引起人的牙齿骨质疏松。,15
2481,面包,苹果,鸡蛋,巧克力,A,0,牛奶可跟以下哪种物质一起食用___,15
2482,酒,桔子,苹果,海味,D,0,下面哪个物质可同胡萝卜同食___,15
2483,金,铁,锌,锡,C,0,在生活中常说的“五金” 不包括下列哪种金属___,15
2484,红色蔬菜,白色蔬菜,绿色蔬菜,黄色蔬菜,B,0,营养学家分析了各种蔬菜的养分，下列___的营养物质最低。,15
2486,水果可以代替蔬菜,削去果皮不能解决农药问题,水果富含的维生素特别多,多吃水果可以减肥,B,0,很多人都喜欢吃水果，下列关于水果的选项哪个是正确的___,15
2487,55%,65%,75%,85%,C,0,金饰品常用K代表其含金量，18K 金饰品的含金量是___,15
2488,锌锰合金,铜锌合金,铜锰合金,铜铁合金,B,0,装订精良的大书，书上印着金灿灿的烫金字的组成___。,15
2489,铁、铝,铁、碳,铁、锡,铁、铜,B,0,钢是由什么组成的？___,15
2490,赤色金,褐色金,红色金,黄色金,C,0,黄金与其它金属混合可以制成五颜六色的色金首饰，当黄金与铜按比例混合，能制成___,15
2492,根本法和普通法,一般法和特别法,国内法和国际法,实体法和程序法,C,0,按照制定和实施法律的主体不同，可以把法律划分为___。,15
2495,调整的社会关系的种类,调整的方法,保障权利的途径,调整的机制,A,0,法律___是划分部门法的首要的、第一位标准。,15
2496,1949,1950,1952,1954,D,0,我国第一部社会主义类型的宪法是___年制定的宪法。,15
2498,权利,权力,义务,权利和义务,D,0,我国宪法规定，公民有受教育的___。,15
2499,领导,指导,监督,管理,C,0,最高人民法院是我国的最高国家审判机关，___地方各级人民法院和专门人民法院的审判工作。,15
2500,行政法就是指行政法规,行政法是行政法规的渊源之一,行政法规是行政法的渊源之一,行政法与行政法规是效力不同的两种类别的规范性文件,C,0,行政法与行政法规的关系是___。,15
2501,5,6,7,8,D,0,私营企业是指企业资产属于私人所有，雇工达到___人以上的营利性经济组织。,15
2502,流转税,财产税,所得税,营业税,A,0,增值税属于___。,15
2504,刘母,刘父,幼儿园,刘迪,D,0,刘迪，6岁，在北京幼儿园学习绘画数年，1989年夏天，某机构组织儿童绘画展，刘迪的画被选中参展，并获得一等奖，得奖金1000元。此时刘迪父母已离异，其母张某为刘迪的监护人，刘迪之父每月给刘迪100元抚养费。1000元奖金应归___所有。,15
2505,占有权,使用权,用益权,处分权,D,0,财产所有权中最核心的是___。,15
2506,使用在先,申请在先,申请在先并且使用在先,设计在先,A,0,两个或两个以上的申请人在同一种商品上以相同或相似的商标在同一天申请注册的，商标局应当依照我国商标法的规定公告___的商标。,15
2508,可以成为所有犯罪的主体,只能成为法律明文规定可由单位构成的犯罪的主体,不能成为任何犯罪的主体,能否成为犯罪的主体由法院根据具体情况确定,B,0,根据我国刑法规定，单位___。,15
2509,可以免除,应当减轻,可以减轻,应当从轻,B,0,我国刑法规定，对于中止犯，没有造成损害的，应当免除处罚；造成损害的，___处罚。,15
2510,全国人大常委会,最高人民检察院,最高人民法院,中共中央政法委,B,0,我国刑法规定，法定最高刑为无期徒刑、死刑的，经过20年就不再追诉；如果20年以后必须追诉的，须报请___批准。,15
2511,应负刑事责任，但应当从轻或减轻处罚,应负刑事责任，但可以从轻或减轻处罚,应负刑事责任，但可以减轻或免除处罚,不负刑事责任,A,0,中学生某甲，1983年4月5日生。1998年3月28日，他故意把一同学打成重伤，某甲对于他的这一行为，___。,15
2512,自然规律,唯物史观,英雄史观,历史传统,B,0,为人民服务的人生观反映了___。,15
2514,人生观,人生价值观,历史观,世界观,B,0,___在价值观念体系中居于深层次的、核心地位。,15
2515,必须怎样,可以怎样,不准怎样,应当怎样,D,0,道德提倡___。,15
2516,追求真理,自强不息,勤劳勇敢,关心国家,A,0,___是中国革命道德传统。,15
2517,政治立场,社会理想,发展道路,为谁服务,D,0,___是道德问题的核心。,15
2518,婚姻自主,情感基础,相濡以沫,共同生活,A,0,婚姻的基本要求是___。,15
2519,立志,学习,内省,实践,D,0,___是道德修养最根本的方法。,15
2520,忍让,软弱,教养,妥协,C,0,在人际交往中，宽容是一种___。,15
2521,理性认识,科学思维,自觉意识,系统,A,0,思想指人的___。,15
2522,地球日,节水日,爱鸟日,世界环境日,D,0,第27届联合国大会决定把每年的6月5日定为_____   ,15
2523,盐酸,二氧化碳,二氧化硫,氯氟烃,C,0,一般认为，我国酸雨形成的主要原因是_______等酸性气体进入大所后，逐步形成PH<5.6的酸性降水.   ,15
2524,红外线,紫外线,可见光,热量,B,0,臭氧是一种天蓝色、有臭味的气体，在大气圈平流层中的臭氧层可以吸收和滤掉太阳光中大量的________，有效保护地球生物的生存。 ,15
2525,一级,二级,三级,四级,A,0,我国有许多世界珍稀动物，金丝猴就是其中之一，它是国家_______保护动物。 ,15
2526,60,90,120,140,C,0,噪声的来源主要有交通噪声、工业噪声、建筑施工噪声和社会噪声。人耳开始感到疼痛的声音叫痛阈，其声级为________分贝。,15
2528,羚羊,野鹿,麋鹿,马鹿,C,0,有一种头似马、角似鹿、尾似驴、蹄似牛，俗称“四不像”的珍奇动物，其野生种群18世纪在我国灭绝。1985年我国分批引进80多只，建立自然保护区，进行在自然界恢复野生种群的研究，这种动物是_____。 ,15
2529,铅,甲基汞,黄曲霉素,农药DDT,B,0,1956年，发生在日本熊本县的水俣病是由于人们食用被________污染的鱼类后，在体内积累，逐渐引起的神经性疾病。 ,15
2531,浊度,矿化度,酸碱度,化学需氧量,C,0,水体被污染的程度，可由溶解氧____、生化需氧量_____、______________、总需氧量_____和总有机碳_____等多项指标综合表示。,15
2534,50以下,<blank>,101~200,201~300,C,0,重点城市空气质量周报，目前主要有污染指数、首要污染物、空气质量级别三项内容。当污染指数在________之间时，空气质量为3 级，属轻度污染。  ,15
2535,健康标准,食品工业,药品生产,环境管理,D,0,ISO14000系列标准是国际标准化组织制定的有关___的系列标准. ,15
2538,2010年远景目标纲要,可持续发展,生态保护,防治污染,B,0,1994年3月，中国政府批准的《中国21世纪议程——中国21世纪人口、环境与发展白皮书》从具体国情出发，提出了中国_______的总体战略、对策以及行动方案。 ,15
2539,大气圈,水体圈,土壤圈,生物圈,D,0,是联系有机物和无机物的中心环节，也是与人类关系最密切的一种环境要素。_______   ,15
2540,铁,硒,碘,钙,C,0,如果一个地区的   元素分布异常，可引起地方性甲状腺肿或克汀病。_____ ,15
2541,生产者,消费者,分解者,还原者,C,0,生态系统中的“ ”包括绿色植物、光能细菌和化能细菌，是构成生态系统的基础。______  ,15
2542,2月12日,3月12日,4月12日,5月12日,B,0,中国“植树节”是每年的   。_______ ,15
2543,泰国,瑞士,肯尼亚,美国,B,0,联合国环境规划署总部设在   的首都。______ ,15
2544,＞5.6,＞7,＜5.6,＜7,C,0,酸雨是指pH值   的大气降水。______,15
2546,俄罗斯,朝鲜,日本,中国,D,0,世界上最大的丹顶鹤越冬地在    。______,15
2548,大象,老虎,藏羚羊,金丝猴,C,0,青海可可西里国家级自然保护区主要的保护对象是 。_____  ,15
2550,沼气,太阳能,煤炭,风力,C,0,不属于清洁能源。______  ,15
